SKU *,Fixmer Reference,Full Name *,Brand *,Line,Vitola,Shape,Dimensions,Wrapper,Net Weight (g),Length (inches),Ring Gauge,Pack Type,Units/Pack,COGS,GTIN,EU CEG ID,Status *,Product Role *,Market Availability,Notes
e.g. NICLA6-MIN-B20,Fixmer article ref,Full product name,Brand name,Product line,Vitola name,"e.g. Round, Pointed, Figurado",e.g. 5.0 x 52,Wrapper type,Net weight per unit (g),Length in inches,Ring gauge,"e.g. Box, Bndl, Pack",Units per pack,Cost of goods sold,Barcode (GTIN),EU CEG registration ID,active / inactive,original / sample / foc,"e.g. EU, NO, CH",Internal notes
NIEX-E4-M20-AG17,C01712,Nicarao Exclusivo E4 Bundle 20,Nicarao,Exclusivo,E4 Bndl20,Round,5 x 50,Maduro,12.25,5,50,Bndl,20, 2.56 ,5404021000707,00903-16-01302,active,aged,,
NIEX-ROBEX-M20-AG16,C01710,Nicarao Exclusivo Robusto Extra Bundle 20,Nicarao,Exclusivo,Robusto Extra Bndl20,Round,5.5 x 58,Maduro,18.6,5.5,58,Bndl,20, 3.49 ,5404021000745,00903-16-01303,active,aged,,
NIES-TODO-M20-AG17,C01793,Nicarao Especial Toro Doble Bundle 20,Nicarao,Especial,Toro Doble Bndl20,Round,5.5 x 58,Hab.,19.84,5.5,58,Bndl,20, 2.39 ,5404021000448,00903-16-01206,active,aged,,
NIES-TODO-M20-AG15,C01793,Nicarao Especial Toro Doble Bundle 20,Nicarao,Especial,Toro Doble Bndl20,Round,5.5 x 58,Hab.,19.84,5.5,58,Bndl,20, 2.39 ,5404021000448,00903-16-01206,active,aged,,
NIES-TODO-M20-AG16,C01793,Nicarao Especial Toro Doble Bundle 20,Nicarao,Especial,Toro Doble Bndl20,Round,5.5 x 58,Hab.,19.84,5.5,58,Bndl,20, 2.39 ,5404021000448,00903-16-01206,active,aged,,
NIES-TORO-M20-AG16,C01718,Nicarao Especial Toro Bundle 20,Nicarao,Especial,Toro Bndl20,Round,6 x 52,Hab.,17.4,6,52,Bndl,20, 2.12 ,5404021000400,00903-16-01205,active,aged,,
NIES-TORO-M20-AG13,C01718,Nicarao Especial Toro Bundle 20,Nicarao,Especial,Toro Bndl20,Round,6 x 52,Hab.,17.4,6,52,Bndl,20, 2.12 ,5404021000400,00903-16-01205,active,aged,,
NIES-TORO-B21-AG19,C01836,Nicarao Especial Toro Box 21,Nicarao,Especial,Toro B21,Round,6 x 52,Hab.,17.4,6,52,Box,21, 2.41 ,5404021000387,00903-16-01205,active,aged,,
NIES-TORO-B21-AG20,C01836,Nicarao Especial Toro Box 21,Nicarao,Especial,Toro B21,Round,6 x 52,Hab.,17.4,6,52,Box,21, 2.41 ,5404021000387,00903-16-01205,active,aged,,
NIES-TORI-B14-AG14,C01721,Nicarao Especial Torito Box 14,Nicarao,Especial,Torito B14,Round,4.5 x 54,Hab.,14.07,4.5,54,Box,14, 2.36 ,5404021000271,00903-16-01202,active,aged,,
NIES-TORI-B21-AG18,C01834,Nicarao Especial Torito Box 21,Nicarao,Especial,Torito B21,Round,4.5 x 54,Hab.,14.07,4.5,54,Box,21, 2.20 ,5404021000264,00903-16-01202,active,aged,,
